ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_84_10_100,(-x1+x2)*(2*x1+x2*(-x1+x2/x1))/x2,0,2.781397581,"div,sub,x2,x1,div,x2,add,add,mul,sub,div,x2,x1,x1,x2,x1,x1"
sogn_s_84_11_100,x1-x2,1,2.777781248,"sub,add,x2,sub,sub,add,x2,x1,x2,x2,x2"
sogn_s_84_12_100,x1-x2-2/x1,0,2.775414705,"sub,sub,x1,div,mul,div,div,add,add,x1,div,sub,x1,x1,x2,x1,x1,x1,x1,x1,x2"
sogn_s_84_13_100,x1-x2,1,2.878363132,"sub,add,x1,x1,add,x1,x2"
sogn_s_84_14_100,x1-x2,1,2.810570478,"sub,add,x1,x2,add,x2,x2"
sogn_s_84_15_100,x1-x1/(x2*(x1*x2+2*x2))-x2,0,2.785545826,"sub,x1,add,div,div,x1,add,add,x1,mul,div,add,sub,x2,x1,mul,x2,x1,x2,x2,x2,x2,x2"
sogn_s_84_16_100,x1-x2,1,2.768060207,"sub,add,x1,x1,add,x2,x1"
sogn_s_84_17_100,x1-x2,1,2.840345621,"sub,x1,sub,add,x1,x2,x1"
sogn_s_84_18_100,(-x1+x2)*(-x1**2*x2+x1)/x1,0,2.791259527,"div,sub,x2,x1,div,x1,sub,x1,mul,mul,x1,x1,x2"
sogn_s_84_19_100,x1**3/x2+x1-x2,0,2.777295113,"sub,add,mul,div,mul,x2,div,mul,x1,x1,mul,div,x2,x1,x2,x1,x1,x1,x2"
sogn_s_84_20_100,x1-x2-(x2+(-x1+2*x2)/(x1*x2))/x1,0,2.868167639,"sub,sub,x1,div,add,div,div,sub,x2,sub,add,div,div,sub,x2,x2,x2,x2,x1,x2,x1,x2,x2,x1,x2"
sogn_s_84_21_100,zoo*x1+x1-x2,0,3.822440863,"sub,x1,add,x2,div,x1,div,sub,x1,add,x1,mul,sub,x2,x2,x1,x1"
sogn_s_84_22_100,x1-x2+1,0,2.809005976,"add,x1,sub,mul,mul,div,mul,div,x1,x2,div,div,mul,x2,div,x2,x2,x1,x1,x2,x2,x1,x2"
sogn_s_84_23_100,x1-x2,1,2.853181362,"sub,div,x1,div,x2,x2,sub,x2,mul,x1,sub,x1,x1"
sogn_s_84_24_100,x1-x2,1,2.748452663,"sub,x1,sub,sub,x1,sub,x1,add,x1,x2,x1"
sogn_s_84_25_100,x1-x2,1,2.802088499,"sub,x2,add,x2,add,x2,sub,mul,mul,x1,div,sub,x1,x1,x2,x1,x1"
sogn_s_84_26_100,-x1**3/x2+x1-x2,0,2.791790009,"sub,x1,add,x2,div,x1,div,div,x2,x1,x1"
sogn_s_84_27_100,x1-x2,1,2.775145054,"mul,sub,x1,x2,sub,x1,sub,add,sub,x1,x2,x2,div,x2,x2"
