ID,Expression,SUCCESS,TIME,Expression_Details
sogn_+_2_26_100,x1+x2,1,4.574898481,"sub,x2,sub,div,div,mul,div,x2,x1,sub,x1,x1,x1,x1,x1"
sogn_+_2_27_100,0,0,4.480742931,"sub,x2,mul,x1,div,x2,sub,sub,sub,div,sub,sub,x1,x2,x1,x2,x2,x1,x2"
sogn_+_2_28_100,-x1*x2**2*(x1-x2)+x2,0,4.655689955,"sub,x2,div,x1,div,x2,mul,add,mul,x2,mul,x2,sub,x1,x2,sub,x1,x1,x2"
sogn_+_2_29_100,x1+x2,1,4.549165726,"add,add,x2,x1,div,sub,add,x2,mul,x2,sub,sub,x1,sub,x2,x2,x1,x2,x1"
sogn_+_2_30_100,x1+x2,1,4.428584576,"add,x1,div,x2,div,x2,x2"
sogn_+_2_31_100,x1+x2+x2/(x1*(x1*x2+x1)),0,4.784477949,"add,x2,add,x1,div,x2,mul,add,mul,sub,add,x1,x2,x1,x1,x1,x1"
sogn_+_2_32_100,x1+x2,1,4.445725918,"add,sub,x1,x2,add,sub,x2,sub,x1,x2,x1"
sogn_+_2_33_100,x1+x2,1,4.584592104,"add,add,x1,sub,x1,x1,x2"
sogn_+_2_34_100,x1**2/x2+x1+x2,0,4.479322672,"add,x1,add,div,mul,x1,x1,x2,x2"
sogn_+_2_35_100,-x1**2/x2+x1+x2,0,4.440319061,"sub,x2,add,x2,sub,sub,mul,div,x1,x2,x1,x1,x2"
sogn_+_2_36_100,x1-x1/x2+x2,0,4.560843229,"sub,add,x1,x2,div,sub,x1,div,sub,x1,x1,div,div,x1,x1,x1,x2"
sogn_+_2_37_100,x1+x2,1,4.717815399,"add,sub,sub,x1,x1,sub,sub,x1,x2,x1,x1"
sogn_+_2_38_100,x1+x2,1,4.44980979,"div,mul,x2,add,x2,x1,x2"
sogn_+_2_39_100,x1+x2,1,4.535727739,"sub,add,x2,x1,mul,sub,add,div,sub,div,mul,x1,x1,x1,x1,x1,x1,x1,x2"
sogn_+_2_40_100,x1+x1/x2+x2,0,4.816168547,"add,x2,sub,add,x1,x2,add,sub,sub,x2,div,add,sub,x1,x1,x1,x2,x2,x2"
sogn_+_2_41_100,x1+x2+1/x2,0,4.52872467,"add,add,x1,x2,div,x1,mul,x2,x1"
sogn_+_2_42_100,x2*(-x1-x2)/(x1-x2),0,4.41322875,"sub,add,div,sub,sub,sub,x1,x1,x2,x1,div,sub,x1,x2,x2,x1,x1"
sogn_+_2_43_100,x1+x2,1,4.732893467,"add,sub,x2,x2,sub,x1,sub,x1,add,x1,x2"
sogn_+_2_44_100,x1*(-2*x1+x2+1+x2/x1)/x2+x2,0,4.495153427,"add,div,mul,x1,mul,div,sub,x2,sub,x1,sub,add,div,x2,x2,div,x2,x1,x1,x1,x1,x2,x2"
sogn_+_2_45_100,x1+x2-1/x2,0,4.507642508,"add,x1,sub,x2,div,div,add,x1,sub,x2,x2,x1,x2"
sogn_+_2_46_100,x1**2/x2+x1+x2,0,4.337768555,"add,x2,add,mul,div,x1,x2,add,mul,sub,x1,x1,div,x1,x2,x1,x1"
sogn_+_2_47_100,x1+x2,1,4.5639925,"add,x2,x1"
sogn_+_2_48_100,3*x1+x2,0,4.398700476,"add,x1,add,x2,div,mul,div,x1,x1,x1,div,x2,mul,div,add,x2,x2,x2,x2"
sogn_+_2_49_100,(x1+x2*(x1+x2))*(x2+1)/x2**2,0,4.512614727,"mul,div,add,x2,div,x2,x2,x2,div,add,x1,mul,x2,add,x2,x1,x2"
sogn_+_2_50_100,x1*x2/(x1*x2+x1)+x1+x2,0,4.455265045,"add,x1,add,x2,mul,x2,sub,add,div,x1,add,mul,x1,x2,x1,x1,x1"
sogn_+_2_51_100,x1-x1*(x1+x2)/x2+x2,0,6518.888203,"div,mul,sub,x2,sub,div,mul,x1,x2,mul,div,x2,add,x2,x1,x2,x1,x1,x1"
sogn_+_2_52_100,x1+x2-2/x1,0,4.695709229,"add,x1,sub,x2,mul,x1,sub,x2,sub,x2,div,div,div,add,x2,x2,x1,x1,x2"
sogn_+_2_53_100,x1+x2,1,4.602548361,"add,mul,div,x1,x1,x1,x2"
sogn_+_2_54_100,x1*(x1+x2)/x2+x2,0,4.515228033,"add,x2,div,add,x2,x1,div,x2,x1"
sogn_+_2_55_100,x1+x1/(x2*(x1**2*x2**2-x1))+x2,0,4.705150604,"add,x1,add,x2,div,x1,mul,x2,sub,mul,x1,mul,mul,x2,x1,x2,x1"
sogn_+_2_56_100,x1+x2+x2/(x1**2*(-x1+x2)),0,4.747805119,"add,add,x2,x1,div,x2,mul,x2,mul,mul,x1,x1,div,sub,x2,x1,x2"
sogn_+_2_57_100,x1+x2-x2*(x1*x2+x2)/x1**2,0,4.573647738,"add,x1,sub,x2,div,x2,div,x1,div,add,mul,mul,div,x1,x1,x2,x1,x2,x1"
sogn_+_2_58_100,x1*(x2+(x1**2+x1)/x2)/x2+x2,0,4.587580919,"add,x2,div,mul,add,x2,div,add,div,mul,x1,mul,x1,x1,x1,x1,x2,x1,x2"
sogn_+_2_59_100,x1+x2-x2/(x1+x2),0,6127.871701,"sub,sub,x1,sub,div,x2,add,x2,x1,x2,sub,x2,add,sub,x2,x2,x2"
sogn_+_2_60_100,x1+x1/(x1+x2)+x2,0,4.503204584,"add,x2,add,x1,div,div,x1,div,mul,div,x1,x2,add,x2,x1,x1,x2"
sogn_+_2_61_100,x1+x2-1/(2*x1*x2),0,4.795110226,"add,x2,sub,x1,div,x1,div,x2,div,div,div,x2,add,x1,x1,x2,x1"
sogn_+_2_62_100,x1+x2+1/(x1*x2**4),0,4.622953653,"add,add,x1,x2,div,div,x2,x2,mul,mul,mul,mul,x2,x2,x2,x2,x1"
sogn_+_2_63_100,x1+x2+x2/(x1*(-x1+x2**2)+x1+2*x2),0,4.486222982,"add,x1,add,div,x2,add,add,x2,x1,add,mul,sub,mul,x2,x2,x1,x1,x2,x2"
sogn_+_2_64_100,x1+x2,1,4.629841089,"add,x2,add,x1,mul,sub,x1,x1,sub,x1,add,x1,x1"
sogn_+_2_65_100,3*x1+x2-x2/x1,0,4.601080656,"add,x1,sub,x2,div,x1,div,x1,add,sub,sub,sub,div,x2,x1,x2,x1,x1,x2"
sogn_+_2_66_100,x1+x2,1,4.570342779,"sub,x1,sub,mul,x1,mul,mul,sub,x2,x2,x2,add,sub,x2,x2,x1,x2"
sogn_+_2_67_100,0,0,4.571037769,"add,x1,sub,add,x1,x2,div,x2,div,add,sub,add,sub,div,x1,x1,x1,x1,x1,x2,x1"
sogn_+_2_68_100,x1+x2-1/(x1*(x1*x2+x2)),0,4.938108683,"add,x2,sub,x1,div,x2,mul,add,x2,mul,x1,x2,mul,x1,x2"
sogn_+_2_69_100,x1**3/x2+x1+x2,0,5.074094296,"add,x2,add,x1,div,mul,x1,x1,div,x2,x1"
sogn_+_2_70_100,x1-x1/(x1-x2**2/(x1*(x1-x2)))+x2,0,4.880305767,"sub,add,x1,x2,div,x1,sub,x1,mul,x2,div,x2,mul,sub,x1,x2,x1"
sogn_+_2_71_100,x1+x2,1,4.657513857,"sub,sub,add,x1,x2,sub,x1,add,x1,x1,x1"
sogn_+_2_72_100,x1+x2,1,5.107500553,"add,x1,sub,x2,sub,x1,sub,x2,sub,add,sub,x2,x1,x1,x1"
sogn_+_2_73_100,x1+x2,1,4.783032417,"add,x1,sub,x2,add,x2,sub,sub,x1,x1,x2"
sogn_+_2_74_100,x1+x2+1/2,0,4.770360947,"add,add,sub,div,x1,add,x1,x1,x1,x1,add,div,x1,div,x1,x1,x2"
sogn_+_2_75_100,x1+x2+x2**2/x1,0,5.087405443,"add,add,div,x2,div,x1,x2,x2,x1"
sogn_+_2_76_100,x1+x2+x2/(x1+x2+1),0,4.883216858,"add,x2,add,x1,div,x2,add,add,div,x1,add,x1,sub,x1,x1,x2,x1"
sogn_+_2_77_100,x1+x2-1/x2,0,4.812644482,"sub,x1,sub,div,x2,mul,x2,x2,x2"
sogn_+_2_78_100,x1+x2**2+x2,0,5.050940037,"add,x2,add,x1,div,mul,x2,x1,sub,add,x1,div,x1,x2,x1"
sogn_+_2_79_100,-x1**2/(-x2*(x1+2*x2)+x2)+x2,0,4.969234943,"sub,x2,mul,x1,div,x1,sub,x2,mul,x2,add,add,x2,x2,x1"
sogn_+_2_80_100,x1+x2,1,4.923315525,"add,x2,sub,add,x1,x1,x1"
sogn_+_2_81_100,x1+x2,1,4.96178031,"add,add,div,add,sub,div,div,x2,x2,div,x2,sub,x2,x2,x2,x2,x2,x2,x1"
sogn_+_2_82_100,x1+x2,1,4.759689569,"add,x1,add,x2,div,sub,x2,x2,add,div,x1,div,x1,x2,x2"
sogn_+_2_83_100,x1+zoo*x1+x2,0,5.035832644,"add,x2,add,x1,div,x1,mul,sub,x1,div,x1,div,x2,div,mul,x2,x1,x1,x2"
sogn_+_2_84_100,x1+x1/(x1**2-x2)+x2,0,4.83245039,"add,x1,add,x2,mul,div,x1,x2,div,x2,sub,mul,x1,x1,x2"
sogn_+_2_85_100,x1+x1*(x1+x2)/(x2*(-x2+x2**2/x1))+x2,0,4.797906637,"add,x1,add,x2,div,x1,mul,div,x2,add,x1,x2,sub,div,x2,div,x1,x2,x2"
